time,acceleration,displacement
0.0,0.0,0.0
0.02,0.01999866669333308,1.3333066669202198e-06
0.04,0.03998933418663416,1.0665813365839938e-05
0.06,0.059964006479444595,3.599352055540239e-05
0.08,0.0799146939691727,8.530603082730626e-05
0.1,0.09983341664682815,0.0001665833531718508
0.12,0.11971220728891936,0.00028779271108063387
0.14,0.1395431146442365,0.00045688535576351996
0.16,0.15931820661424598,0.0006817933857540259
0.18,0.17902957342582418,0.0009704265741758145
0.2,0.19866933079506122,0.0013306692049387947
0.22,0.21822962308086932,0.0017703769191306784
0.24,0.23770262642713458,0.002297373572865413
0.26,0.2570805518921551,0.002919448107844891
0.28,0.27635564856411376,0.0036443514358862616
0.3,0.29552020666133955,0.004479793338660443
0.32,0.31456656061611776,0.005433439383882244
0.34,0.3334870921408144,0.006512907859185624
0.36,0.35227423327508994,0.007725766724910044
0.38,0.3709204694129827,0.009079530587017326
0.4,0.3894183423086505,0.0105816576913495
0.42,0.40776045305957015,0.012239546940429835
0.44,0.4259394650659996,0.01406053493400039
0.46,0.4439481069655198,0.016051893034480236
0.48,0.4617791755414829,0.018220824458517082
0.5,0.479425538604203,0.020574461395796995
0.52,0.49688013784373675,0.02311986215626327
0.54,0.5141359916531132,0.025864008346886846
0.56,0.5311861979208834,0.028813802079116657
0.58,0.5480239367918736,0.031976063208126404
0.6,0.5646424733950354,0.035357526604964606
0.62,0.5810351605373051,0.03896483946269491
0.64,0.5971954413623921,0.042804558637607903
0.66,0.6131168519734338,0.046883148026566235
0.68,0.6287930240184686,0.051206975981531455
0.7000000000000001,0.6442176872376911,0.05578231276230894
0.72,0.6593846719714731,0.06061532802852687
0.74,0.674287911628145,0.06571208837185494
0.76,0.6889214451105513,0.0710785548894487
0.78,0.7032794192004101,0.07672058079958988
0.8,0.7173560908995228,0.08264390910047725
0.8200000000000001,0.7311458297268959,0.08885417027310416
0.84,0.7446431199708593,0.09535688002914067
0.86,0.757842562895277,0.10215743710472303
0.88,0.7707388788989693,0.1092611211010307
0.9,0.7833269096274834,0.11667309037251661
0.92,0.795601620036366,0.12439837996363401
0.9400000000000001,0.8075581004051143,0.13244189959488573
0.96,0.8191915683009983,0.1408084316990017
0.98,0.8304973704919705,0.1495026295080295
1.0,0.8414709848078965,0.1585290151921035
1.02,0.852108021949363,0.16789197805063705
1.04,0.8624042272433384,0.1775957727566616
1.06,0.8723554823449863,0.18764451765501378
1.08,0.8819578068849475,0.19804219311505256
1.1,0.8912073600614354,0.20879263993856467
1.12,0.9001004421765051,0.21989955782349502
1.1400000000000001,0.9086334961158833,0.23136650388411684
1.16,0.9168031087717669,0.24319689122823307
1.18,0.9246060124080203,0.2553939875919796
1.2,0.9320390859672263,0.26796091403277367
1.22,0.9390993563190676,0.28090064368093237
1.24,0.945783999449539,0.29421600055046104
1.26,0.9520903415905158,0.30790965840948425
1.28,0.9580158602892249,0.3219841397107751
1.3,0.963558185417193,0.3364418145828071
1.32,0.9687151001182652,0.35128489988173484
1.34,0.9734845416953194,0.3665154583046807
1.36,0.9778646024353163,0.38213539756468384
1.3800000000000001,0.9818535303723598,0.39814646962764033
1.4000000000000001,0.9854497299884603,0.4145502700115399
1.42,0.9886517628517197,0.4313482371482802
1.44,0.9914583481916864,0.4485416518083135
1.46,0.9938683634116449,0.4661316365883551
1.48,0.99588084453764,0.48411915546235995
1.5,0.9974949866040544,0.5025050133959456
1.52,0.998710143975583,0.521289856024417
1.54,0.9995258306054791,0.540474169394521
1.56,0.9999417202299663,0.5600582797700338
1.58,0.9999576464987401,0.58004235350126
1.6,0.9995736030415051,0.600426396958495
1.62,0.998789743470524,0.6212102565294761
1.6400000000000001,0.9976063813191737,0.6423936186808265
1.6600000000000001,0.9960239899165367,0.6639760100834634
1.68,0.994043202198076,0.685956797801924
1.7,0.9916648104524686,0.7083351895475314
1.72,0.9888897660047015,0.7311102339952985
1.74,0.9857191788355535,0.7542808211644465
1.76,0.9821543171376185,0.7778456828623815
1.78,0.9781966068080447,0.8018033931919554
1.8,0.9738476308781951,0.8261523691218049
1.82,0.9691091288804563,0.8508908711195438
1.84,0.9639829961524481,0.876017003847552
1.86,0.9584712830789142,0.9015287169210859
